"STATION"	"NAME"	"LATITUDE"	"LONGITUDE"	"ELEVATION"	"DATE"	"AWND"	"DAPR"	"MDPR"	"PGTM"	"PRCP"	"SN52"	"SNOW"	"SNWD"	"SX52"	"TAVG"	"TMAX"	"TMIN"	"TOBS"	"WDF2"	"WDF5"	"WESD"	"WESF"	"WSF2"	"WSF5"	"WSFG"	"WT01"	"WT02"	"WT03"	"WT04"	"WT06"	"WT08"	"WT11"
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-09"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-10"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-11"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-12"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-13"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-14"					"0.00"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-15"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-16"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-17"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-18"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-19"					"0.03"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-20"					"0.08"																						
